id,countries,geo_vol
,United States of America,4072564
,United Kingdom,300564
,Canada,246672
,Malaysia,173768
,Indonesia,92816
,India,78100
,Philippines,72116
,Kuwait,48088
,Mexico,41352
,Japan,39764
,Australia,37192
,France,36880
,Brazil,36292
,South Korea,34252
,Thailand,31592
,South Africa,25684
,Saudi Arabia,24688
,Spain,24348
,Germany,23056
,Singapore,21852
,Republic of Ireland,17320
,Nigeria,15124
,Argentina,14912
,Netherlands,12812
,United Arab Emirates,11564
,Italy,11360
,Turkey,11196
,Hong Kong S.A.R.,8792
,Portugal,8140
,Kenya,7608
,Puerto Rico,7360
,Chile,7100
,Egypt,6692
,New Zealand,6668
,Jamaica,6640
,Colombia,6336
,Pakistan,6228
,Belgium,5992
,China,5624
,Russia,5436
,Sweden,5304
,Switzerland,4964
,Trinidad and Tobago,4876
,Poland,4024
,Peru,3712
,Venezuela,3444
,Ghana,3436
,Vietnam,2808
,Norway,2808
,Greece,2656
,Finland,2624
,Lebanon,2540
,Oman,2476
,The Bahamas,2460
,Denmark,2324
,Bahrain,2200
,Austria,2068
,Israel,2048
,Dominican Republic,2008
,Jordan,1996
,Taiwan,1980
,Qatar,1872
,Ecuador,1772
,Costa Rica,1720
,Panama,1668
,Uganda,1644
,Guatemala,1424
,Romania,1396
,Hungary,1364
,Czech Republic,1312
,Bangladesh,1264
,Brunei,1228
,Ukraine,1148
,Maldives,1120
,El Salvador,1104
,Uruguay,1076
,Paraguay,1044
,Morocco,1012
,Latvia,1008
,Zimbabwe,932
,Barbados,892
,Sri Lanka,876
,Bermuda,820
,Guam,744
,Bulgaria,716
,Nepal,708
,Palestine,708
,Republic of Serbia,672
,Iran,656
,Iceland,608
,Slovenia,596
,United Republic of Tanzania,596
,Croatia,588
,Honduras,588
,Haiti,576
,Botswana,544
,Iraq,544
,Estonia,508
,Algeria,500
,Myanmar,500
,Cambodia,484
,Nicaragua,472
,Bolivia,448
,Luxembourg,432
,Cuba,416
,United States Virgin Islands,416
,Slovakia,408
,Northern Cyprus,404
,Yemen,404
,Zambia,376
,Isle of Man,356
,Aruba,352
,Lithuania,344
,Mongolia,340
,Tunisia,336
,Malta,336
,Cayman Islands,332
,Ethiopia,320
,Sudan,320
,Belize,312
,Namibia,308
,Cameroon,304
,Rwanda,288
,Libya,288
,Somalia,272
,Kazakhstan,264
,Fiji,264
,Monaco,248
,Senegal,244
,Mauritius,240
,Azerbaijan,236
,Antigua and Barbuda,232
,Macao S.A.R,216
,Malawi,208
,Angola,208
,Cyprus,204
,Ivory Coast,188
,Bosnia and Herzegovina,184
,Democratic Republic of the Congo,184
,Guyana,184
,Belarus,180
,Albania,180
,Syria,172
,Sierra Leone,172
,Saint Vincent and the Grenadines,156
,Afghanistan,156
,North Macedonia,156
,Kosovo,152
,Central African Republic,144
,Saint Lucia,136
,Mozambique,128
,Gibraltar,128
,Georgia,124
,Laos,120
,Armenia,116
,Turks and Caicos Islands,116
,Grenada,108
,Papua New Guinea,100
,Madagascar,100
,Montenegro,100
,Tonga,96
,Vatican,96
,Palau,88
,Northern Mariana Islands,88
,Curaçao,84
,British Indian Ocean Territory,84
,Eswatini,84
,Antarctica,76
,Djibouti,72
,Samoa,68
,Anguilla,68
,Guinea,64
,Suriname,60
,The Gambia,60
,Burkina Faso,52
,Dominica,52
,Liberia,52
,Lesotho,48
,Jersey,48
,South Sudan,48
,Uzbekistan,40
,Bhutan,40
,Faroe Islands,40
,Moldova,40
,Chad,40
,French Polynesia,36
,Andorra,36
,Togo,36
,Mali,36
,Greenland,32
,Federated States of Micronesia,32
,Seychelles,32
,Saint Kitts and Nevis,32
,Kyrgyzstan,32
,Burundi,28
,Somaliland,28
,Liechtenstein,28
,Gabon,28
,Benin,24
,Eritrea,24
,American Samoa,20
,Niue,20
,New Caledonia,20
,British Virgin Islands,20
,Guernsey,16
,Tuvalu,16
,Cape Verde,16
,San Marino,12
,Republic of Congo,12
,Nauru,12
,Tajikistan,12
,Mauritania,12
,Aland,8
,Vanuatu,8
,Turkmenistan,8
,Saint Pierre and Miquelon,8
,Niger,8
,Montserrat,8
,East Timor,8
,Saint Barthelemy,4
,Equatorial Guinea,4
,Pitcairn Islands,4
,Solomon Islands,4
,Sao Tome and Principe,4
,Kiribati,4